
2024/12/01 (03:08:01) | ===> btop++ v.1.4.0
2024/12/01 (03:08:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (04:20:46) | ===> btop++ v.1.4.0
2024/12/01 (04:20:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (04:42:29) | ===> btop++ v.1.4.0
2024/12/01 (04:42:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (13:53:21) | ===> btop++ v.1.4.0
2024/12/01 (13:53:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (20:57:22) | ===> btop++ v.1.4.0
2024/12/02 (20:57:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (20:57:53) | ===> btop++ v.1.4.0
2024/12/02 (20:57:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (21:02:48) | ===> btop++ v.1.4.0
2024/12/02 (21:02:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (23:33:26) | ===> btop++ v.1.4.0
2024/12/02 (23:33:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (00:10:35) | ===> btop++ v.1.4.0
2024/12/03 (00:10:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (00:23:32) | ===> btop++ v.1.4.0
2024/12/03 (00:23:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (01:33:40) | ===> btop++ v.1.4.0
2024/12/03 (01:33:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (10:19:42) | ===> btop++ v.1.4.0
2024/12/03 (10:19:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (13:27:43) | ===> btop++ v.1.4.0
2024/12/03 (13:27:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/03 (13:28:38) | ===> btop++ v.1.4.0
2024/12/03 (13:28:38) | WARNING: Intel GPU: Failed to initialize PMU
